神经质,严谨性,宜人性,开放性,外向性
0.175,0.925,0.875,0.85,0.75
0.125,0.825,0.75,0.8,0.85
0.125,0.8,0.725,0.825,0.825
0.025,0.825,0.8,0.8,0.85
0.075,0.775,0.675,0.7,0.75
0.125,0.825,0.65,0.75,0.75
0.15,0.825,0.7,0.825,0.8
0.125,0.9,0.85,0.825,0.925
0.25,0.85,0.95,0.9,0.875
0.125,0.75,0.7,0.75,0.65
0.45,0.75,0.7,0.775,0.65
0.3,0.625,0.6,0.675,0.525
0.15,0.85,0.85,0.875,0.975
0.15,0.825,0.775,0.8,0.9
0.15,0.875,0.825,0.9,0.775
0.175,0.925,0.775,0.8,0.775
0.175,0.9,0.825,0.875,0.875
0.3,0.775,0.775,0.725,0.75
0.2,0.775,0.85,0.775,0.75
0.125,0.9,0.775,0.85,0.875
0.15,0.825,0.8,0.8,0.8
0.15,0.85,0.825,0.825,0.9
0.1,0.975,0.725,0.85,0.925
0.425,0.85,0.775,0.475,0.325
0.425,0.725,0.825,0.775,0.525
0.15,0.85,0.825,0.9,0.85
0.175,0.875,0.9,0.9,0.925
0.15,0.9,0.825,0.8,0.825
0.175,0.85,0.925,0.75,0.9
0.55,0.725,0.9,0.425,0.2
0.1,0.825,0.9,0.85,0.9
0.15,0.975,0.825,0.85,0.825
0.575,0.425,0.575,0.55,0.45
0.6,0.7,0.6,0.5,0.4
0.275,0.775,0.375,0.725,0.85
0.15,0.875,0.825,0.875,0.825
0.225,0.825,0.7,0.725,0.625
0.275,0.75,0.675,0.55,0.65
0.15,0.7,0.55,0.325,0.4
0.3,0.9,0.725,0.475,0.55
0.125,0.825,0.775,0.575,0.5
0.425,0.8,0.825,0.875,0.9
0.175,0.875,0.825,0.7,0.65
0.275,0.85,0.8,0.8,0.6
0.175,0.85,0.8,0.875,0.9
0.525,0.7,0.725,0.8,0.425
0.075,0.85,0.75,0.8,0.875
0.05,0.875,0.925,0.925,0.8
0.1,0.8,0.775,0.85,0.95
0.25,0.8,0.675,0.875,0.725
0.275,0.7,0.625,0.8,0.675
0.15,0.925,0.75,0.85,0.9
0.1,0.925,0.95,0.725,0.925
0.2,0.7,0.775,0.6,0.775
0.175,0.675,0.65,0.775,0.75
0.1,0.9,0.85,0.85,0.625
0.275,0.8,0.6,0.725,0.775
0.1,0.8,0.9,0.675,0.85
0.2,0.85,0.85,0.825,0.825
0.1,0.875,0.825,0.9,0.6
0.175,0.925,0.9,0.875,0.8
0.05,1,0.975,0.8,0.65
0.325,0.775,0.8,0.425,0.375
0.05,1,0.95,0.75,0.725
0.075,0.925,0.775,0.8,0.625
0.125,0.725,0.85,0.8,0.8
0.175,0.75,0.325,0.825,0.8
0.075,0.75,0.825,0.875,0.85
0.675,0.875,0.625,0.925,0.775
0.2,0.875,0.8,0.775,0.725
0.125,0.775,0.85,0.875,0.725
0.1,0.85,0.75,0.9,0.825
0.275,0.85,0.775,0.45,0.675
0.175,0.85,0.875,0.875,0.9
0.125,0.9,0.75,0.8,0.575
0.15,0.825,0.875,0.8,0.9
0.175,0.85,0.825,0.75,0.825
0.05,0.775,1,0.925,0.95
0.15,0.925,0.875,0.85,0.6
0.4,0.825,0.75,0.675,0.65
0.15,0.85,0.8,0.575,0.45
0.15,0.85,0.9,0.875,0.825
0.425,0.775,0.8,0.85,0.6
0.2,0.8,0.9,0.825,0.825
0.025,0.925,0.825,0.8,0.9
0.125,0.875,0.8,0.875,0.85
0.275,0.9,0.775,0.8,0.725
0.1,0.8,0.8,0.6,0.75
0.125,0.75,0.875,0.55,0.85
0.15,0.925,0.85,0.8,0.9
0.2,0.9,0.725,0.525,0.8
0.75,0.45,0.875,0.8,0.275
0.225,0.85,0.65,0.8,0.8
0.175,0.7,0.775,0.675,0.725
0.175,0.9,0.775,0.725,0.65
0.375,0.775,0.9,0.675,0.5
0.65,0.7,0.45,0.5,0.575
0.15,0.85,0.8,0.825,0.825
0.9,0.35,0.1,0.425,0.1
0.175,0.85,0.775,0.85,0.825
0.1,0.675,0.7,0.725,0.825
0.25,0.75,0.75,0.75,0.825
0.375,0.825,0.75,0.4,0.4
0.9,0.525,0.9,0.55,0.075
0.225,0.8,0.7,0.75,0.9
0.525,0.85,0.75,0.775,0.75
0.175,0.7,0.75,0.75,0.825
0,0.85,0.95,0.875,0.9
0.05,0.725,0.8,0.875,0.875
0.85,0.675,0.775,0.575,0.225
0.15,0.925,0.625,0.8,0.9
0.25,0.85,0.775,0.775,0.85
0.375,0.875,0.5,0.65,0.575
0.25,0.9,0.775,0.675,0.825
0.2,0.65,0.7,0.5,0.625
0.25,0.875,0.9,0.775,0.5
0.325,0.85,0.75,0.75,0.575
0.3,0.775,0.775,0.75,0.775
0.625,0.75,0.825,0.55,0.675
0.325,0.7,0.775,0.8,0.175
0.65,0.775,0.6,0.5,0.475
0.7,0.75,0.85,0.525,0.5
0,0.975,0.875,0.825,0.825
0.325,0.75,0.75,0.8,0.75
0.8,0.6,0.65,0.875,0.725
0.225,0.85,0.825,0.875,0.85
0.425,0.75,0.675,0.775,0.725
0.7,0.75,0.7,0.525,0.325
0.25,0.85,0.75,0.825,0.725
0.1,0.925,0.775,0.85,0.6
0.2,0.75,0.65,0.575,0.6
0.525,0.85,0.85,0.225,0.275
0.45,0.775,0.725,0.65,0.675
0.075,0.85,0.75,0.775,0.8
0.775,0.9,0.55,0.625,0.45
0.625,0.575,0.7,0.725,0.325
0.35,0.85,0.625,0.775,0.825
0.15,0.825,0.675,0.625,0.475
0.125,0.925,0.9,0.875,0.9
0.475,0.625,0.65,0.475,0.35
0.2,0.7,0.8,0.75,0.55
0.3,0.875,0.875,0.875,0.925
0.075,0.925,0.775,0.825,0.8
0.025,0.95,0.775,0.775,0.9
0.425,0.9,0.95,0.8,0.875
0.175,0.825,0.85,0.7,0.825
0.35,0.75,0.725,0.475,0.775
0.225,0.7,0.8,0.65,0.625
0.175,0.8,0.725,0.775,0.875
0.225,0.7,0.8,0.7,0.525
0.35,0.925,0.675,0.65,0.8
0.125,0.925,0.475,0.775,0.825
0.1,0.925,0.7,0.9,0.55
0.3,0.525,0.875,0.875,0.55
0.15,0.825,0.95,0.725,0.75
0.15,0.8,0.775,0.825,0.675
0.2,0.875,0.65,0.8,0.7
0.825,0.775,0.625,0.65,0.275
0.125,0.875,0.75,0.75,0.8
0.175,0.6,0.825,0.9,0.95
0.175,0.575,0.85,0.9,0.95
0.55,0.625,0.675,0.725,0.65
0.6,0.825,0.725,0.725,0.425
0.175,0.875,0.875,0.85,0.85
0.5,0.85,0.775,0.675,0.475
0.25,0.75,0.6,0.7,0.55
0.175,0.95,0.85,0.175,0.125
0.2,0.825,0.825,0.85,0.875
0.225,0.75,0.9,0.875,0.85
0.625,0.8,0.975,0.225,0.2
0.075,0.875,0.9,0.825,0.825
0.075,0.9,0.825,0.8,0.875
0.375,0.6,0.8,0.825,0.35
0.35,0.85,0.95,0.575,0.875
0.4,0.65,0.675,0.75,0.4
0.1,0.875,0.875,0.725,0.825
0.45,0.75,0.875,0.6,0.525
0.325,0.925,0.925,0.75,0.925
0.85,0.675,0.775,0.3,0.55
0.4,0.675,0.675,0.625,0.475
0.7,0.65,0.675,0.425,0.35
